LG1	8050425.500000
LG1	8263867.500000
LG1	8730070.500000
LG1	13937769.500000
LG1	16709749.500000
LG1	16994483.500000
LG1	17239919.500000
LG1	17500563.500000
LG1	17868053.500000
LG1	18786677.500000
LG1	20368930.500000
LG1	21564621.500000
LG1	21963190.500000
LG2	2331857.500000
LG2	5022025.500000
LG2	5343859.500000
LG3	9243469.500000
LG3	9647283.500000
LG3	13093115.500000
LG4	1818712.500000
LG5	3681610.500000
LG5	3819751.500000
LG5	3985149.500000
LG5	4358582.500000
LG5	9254979.500000
LG6	2495770.500000
LG6	2601943.500000
LG6	2767733.500000
LG6	3066336.500000
LG6	3274238.500000
LG6	3483751.500000
LG6	4180778.500000
LG6	4833310.500000
LG6	5767911.500000
LG6	6230908.500000
LG6	7616774.500000
LG6	7841300.500000
LG6	9885530.500000
LG7	574176.500000
LG7	1071085.500000
LG7	4257681.500000
LG7	5110346.500000
LG7	7501843.500000
LG8	1430557.500000
LG8	2163022.500000
LG8	2959411.500000
LG9	2035021.500000
LG9	3884072.500000
LG9	4980974.500000
LG9	7202381.500000
LG10	770579.500000
LG10	914409.500000
LG10	1173396.500000
LG10	1273296.500000
LG10	1356009.500000
LG10	1486716.500000
LG10	1703221.500000
LG10	2269909.500000
LG10	2956932.500000
LG10	3063640.500000
LG10	3587238.500000
LG10	3619298.500000
LG10	4868374.500000
LG10	5103320.500000
LG10	5563002.500000
LG10	7177611.500000
LG10	7245385.500000
LG11	3453920.500000
LG11	4939342.500000
LG11	8605326.500000
LG11	9128626.500000
LG12	239429.500000
LG12	6916753.500000
LG13	3160222.500000
LG13	3633065.500000
LG13	3926155.500000
LG13	4300503.500000
LG13	4925670.500000
LG13	5453699.500000
LG13	5983487.500000
LG13	6868041.500000
LG13	9610287.500000
LG14	3100198.500000
LG14	3926498.500000
LG15	4421952.500000
